"Plot Title: Tank6"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10566972, SEN S/N: 10566972, LBL: Celsius)","Coupler Detached (LGR S/N: 10566972)","Coupler Attached (LGR S/N: 10566972)","Host Connected (LGR S/N: 10566972)","Stopped (LGR S/N: 10566972)","End Of File (LGR S/N: 10566972)"
1,07/19/18 04:00:00 PM,25.331,Logged,,,,
2,07/19/18 04:01:00 PM,26.012,,,,,
3,07/19/18 04:02:00 PM,26.329,,,,,
4,07/19/18 04:03:00 PM,26.500,,,,,
5,07/19/18 04:04:00 PM,26.598,,,,,
6,07/19/18 04:05:00 PM,26.695,,,,,
7,07/19/18 04:06:00 PM,26.744,,,,,
8,07/19/18 04:07:00 PM,26.769,,,,,
9,07/19/18 04:08:00 PM,26.793,,,,,
10,07/19/18 04:09:00 PM,26.793,,,,,
11,07/19/18 04:10:00 PM,26.793,,,,,
12,07/19/18 04:11:00 PM,26.793,,,,,
13,07/19/18 04:12:00 PM,26.769,,,,,
14,07/19/18 04:13:00 PM,26.769,,,,,
15,07/19/18 04:14:00 PM,26.744,,,,,
16,07/19/18 04:15:00 PM,26.720,,,,,
17,07/19/18 04:16:00 PM,26.695,,,,,
18,07/19/18 04:17:00 PM,26.671,,,,,
19,07/19/18 04:18:00 PM,26.646,,,,,
20,07/19/18 04:19:00 PM,26.646,,,,,
21,07/19/18 04:20:00 PM,26.622,,,,,
22,07/19/18 04:21:00 PM,26.598,,,,,
23,07/19/18 04:22:00 PM,26.573,,,,,
24,07/19/18 04:23:00 PM,26.549,,,,,
25,07/19/18 04:24:00 PM,26.524,,,,,
26,07/19/18 04:25:00 PM,26.500,,,,,
27,07/19/18 04:26:00 PM,26.500,,,,,
28,07/19/18 04:27:00 PM,26.475,,,,,
29,07/19/18 04:28:00 PM,26.451,,,,,
30,07/19/18 04:29:00 PM,26.426,,,,,
31,07/19/18 04:30:00 PM,26.402,,,,,
32,07/19/18 04:31:00 PM,26.402,,,,,
33,07/19/18 04:32:00 PM,26.378,,,,,
34,07/19/18 04:33:00 PM,26.353,,,,,
35,07/19/18 04:34:00 PM,26.329,,,,,
36,07/19/18 04:35:00 PM,26.304,,,,,
37,07/19/18 04:36:00 PM,26.304,,,,,
38,07/19/18 04:37:00 PM,26.280,,,,,
39,07/19/18 04:38:00 PM,26.256,,,,,
40,07/19/18 04:39:00 PM,26.256,,,,,
41,07/19/18 04:40:00 PM,26.231,,,,,
42,07/19/18 04:41:00 PM,26.207,,,,,
43,07/19/18 04:42:00 PM,26.182,,,,,
44,07/19/18 04:43:00 PM,26.182,,,,,
45,07/19/18 04:44:00 PM,26.158,,,,,
46,07/19/18 04:45:00 PM,26.158,,,,,
47,07/19/18 04:46:00 PM,26.134,,,,,
48,07/19/18 04:47:00 PM,26.109,,,,,
49,07/19/18 04:48:00 PM,26.109,,,,,
50,07/19/18 04:49:00 PM,26.085,,,,,
51,07/19/18 04:50:00 PM,26.061,,,,,
52,07/19/18 04:51:00 PM,26.061,,,,,
53,07/19/18 04:52:00 PM,26.036,,,,,
54,07/19/18 04:53:00 PM,26.012,,,,,
55,07/19/18 04:54:00 PM,26.012,,,,,
56,07/19/18 04:55:00 PM,25.987,,,,,
57,07/19/18 04:56:00 PM,25.963,,,,,
58,07/19/18 04:57:00 PM,25.963,,,,,
59,07/19/18 04:58:00 PM,25.939,,,,,
60,07/19/18 04:59:00 PM,25.939,,,,,
61,07/19/18 05:00:00 PM,25.914,,,,,
62,07/19/18 05:01:00 PM,25.890,,,,,
63,07/19/18 05:02:00 PM,25.890,,,,,
64,07/19/18 05:03:00 PM,25.866,,,,,
65,07/19/18 05:04:00 PM,25.866,,,,,
66,07/19/18 05:05:00 PM,25.841,,,,,
67,07/19/18 05:06:00 PM,25.841,,,,,
68,07/19/18 05:07:00 PM,25.817,,,,,
69,07/19/18 05:08:00 PM,25.793,,,,,
70,07/19/18 05:09:00 PM,25.793,,,,,
71,07/19/18 05:10:00 PM,25.768,,,,,
72,07/19/18 05:11:00 PM,25.768,,,,,
73,07/19/18 05:12:00 PM,25.744,,,,,
74,07/19/18 05:13:00 PM,25.744,,,,,
75,07/19/18 05:14:00 PM,25.720,,,,,
76,07/19/18 05:15:00 PM,25.720,,,,,
77,07/19/18 05:16:00 PM,25.695,,,,,
78,07/19/18 05:17:00 PM,25.695,,,,,
79,07/19/18 05:18:00 PM,25.671,,,,,
80,07/19/18 05:19:00 PM,25.671,,,,,
81,07/19/18 05:20:00 PM,25.647,,,,,
82,07/19/18 05:21:00 PM,25.647,,,,,
83,07/19/18 05:22:00 PM,25.623,,,,,
84,07/19/18 05:23:00 PM,25.623,,,,,
85,07/19/18 05:24:00 PM,25.598,,,,,
86,07/19/18 05:25:00 PM,25.574,,,,,
87,07/19/18 05:26:00 PM,25.574,,,,,
88,07/19/18 05:27:00 PM,25.574,,,,,
89,07/19/18 05:28:00 PM,25.550,,,,,
90,07/19/18 05:29:00 PM,25.550,,,,,
91,07/19/18 05:30:00 PM,25.525,,,,,
92,07/19/18 05:31:00 PM,25.525,,,,,
93,07/19/18 05:32:00 PM,25.501,,,,,
94,07/19/18 05:33:00 PM,25.501,,,,,
95,07/19/18 05:33:57 PM,,,Logged,,,
96,07/19/18 05:33:58 PM,,,,Logged,,
97,07/19/18 05:34:00 PM,25.841,,,,,
98,07/19/18 05:34:09 PM,,,,,Logged,Logged
