"Plot Title: Tank8"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10579589, SEN S/N: 10579589, LBL: Celsius)","Coupler Detached (LGR S/N: 10579589)","Coupler Attached (LGR S/N: 10579589)","Host Connected (LGR S/N: 10579589)","Stopped (LGR S/N: 10579589)","End Of File (LGR S/N: 10579589)"
117,07/19/18 03:40:00 AM,27.382,,,,,
118,07/19/18 03:45:00 AM,27.382,,,,,
119,07/19/18 03:50:00 AM,27.382,,,,,
120,07/19/18 03:55:00 AM,27.382,,,,,
121,07/19/18 04:00:00 AM,27.382,,,,,
122,07/19/18 04:05:00 AM,27.382,,,,,
123,07/19/18 04:10:00 AM,27.382,,,,,
124,07/19/18 04:15:00 AM,27.382,,,,,
125,07/19/18 04:20:00 AM,27.382,,,,,
126,07/19/18 04:25:00 AM,27.382,,,,,
127,07/19/18 04:30:00 AM,27.382,,,,,
128,07/19/18 04:35:00 AM,27.382,,,,,
129,07/19/18 04:40:00 AM,27.407,,,,,
130,07/19/18 04:45:00 AM,27.407,,,,,
131,07/19/18 04:50:00 AM,27.407,,,,,
132,07/19/18 04:55:00 AM,27.382,,,,,
133,07/19/18 05:00:00 AM,27.382,,,,,
134,07/19/18 05:05:00 AM,27.382,,,,,
135,07/19/18 05:10:00 AM,27.382,,,,,
136,07/19/18 05:15:00 AM,27.382,,,,,
137,07/19/18 05:20:00 AM,27.382,,,,,
138,07/19/18 05:25:00 AM,27.382,,,,,
139,07/19/18 05:30:00 AM,27.382,,,,,
140,07/19/18 05:35:00 AM,27.382,,,,,
141,07/19/18 05:40:00 AM,27.358,,,,,
142,07/19/18 05:45:00 AM,27.358,,,,,
143,07/19/18 05:50:00 AM,27.358,,,,,
144,07/19/18 05:55:00 AM,27.358,,,,,
145,07/19/18 06:00:00 AM,27.358,,,,,
146,07/19/18 06:05:00 AM,27.333,,,,,
147,07/19/18 06:10:00 AM,27.358,,,,,
148,07/19/18 06:15:00 AM,27.333,,,,,
149,07/19/18 06:20:00 AM,27.333,,,,,
150,07/19/18 06:25:00 AM,27.333,,,,,
151,07/19/18 06:30:00 AM,27.333,,,,,
152,07/19/18 06:35:00 AM,27.333,,,,,
153,07/19/18 06:40:00 AM,27.333,,,,,
154,07/19/18 06:45:00 AM,27.358,,,,,
155,07/19/18 06:50:00 AM,27.358,,,,,
156,07/19/18 06:55:00 AM,27.358,,,,,
157,07/19/18 07:00:00 AM,27.358,,,,,
158,07/19/18 07:05:00 AM,27.358,,,,,
159,07/19/18 07:10:00 AM,27.358,,,,,
160,07/19/18 07:15:00 AM,27.358,,,,,
161,07/19/18 07:20:00 AM,27.358,,,,,
162,07/19/18 07:25:00 AM,27.358,,,,,
163,07/19/18 07:30:00 AM,27.358,,,,,
164,07/19/18 07:35:00 AM,27.358,,,,,
165,07/19/18 07:40:00 AM,27.358,,,,,
166,07/19/18 07:45:00 AM,27.358,,,,,
167,07/19/18 07:50:00 AM,27.358,,,,,
168,07/19/18 07:55:00 AM,27.358,,,,,
169,07/19/18 08:00:00 AM,27.358,,,,,
170,07/19/18 08:05:00 AM,27.382,,,,,
171,07/19/18 08:10:00 AM,27.382,,,,,
172,07/19/18 08:15:00 AM,27.382,,,,,
173,07/19/18 08:20:00 AM,27.382,,,,,
174,07/19/18 08:25:00 AM,27.407,,,,,
175,07/19/18 08:30:00 AM,27.407,,,,,
176,07/19/18 08:35:00 AM,27.431,,,,,
177,07/19/18 08:40:00 AM,27.431,,,,,
178,07/19/18 08:45:00 AM,27.456,,,,,
179,07/19/18 08:50:00 AM,27.456,,,,,
180,07/19/18 08:55:00 AM,27.456,,,,,
181,07/19/18 09:00:00 AM,27.456,,,,,
182,07/19/18 09:05:00 AM,27.481,,,,,
